"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"Segregation.nlogox"
"evolutivo_densidad"
"10/26/2025 18:00:30:650 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","visualization","%-similar-wanted","density","[step]","count turtles with [ not happy? ]","percent-similar","percent-unhappy"
"2","square-x","60","30","15","7","96.99530516431925","0.9395973154362416"
"7","square-x","60","30","12","37","95.0413223140496","4.60772104607721"
"9","square-x","60","30","4","156","80.18769551616268","20.77230359520639"
"10","square-x","60","30","3","217","73.3920704845815","26.889714993804215"
"10","square-x","60","30","4","155","79.50963222416813","19.206939281288722"
"11","square-x","60","40","1","463","59.07003444316877","44.6480231436837"
"9","square-x","60","30","5","115","84.32760364004045","15.312916111850866"
"1","square-x","60","30","15","0","98.35924006908463","0"
"7","square-x","60","30","13","21","96.73469387755102","2.6151930261519305"
"6","square-x","60","30","15","14","96.74657534246576","1.7676767676767675"
"2","square-x","60","30","16","7","97.08097928436912","0.9395973154362416"
"7","square-x","60","30","14","14","97.86184210526315","1.7434620174346203"
"6","square-x","60","30","16","13","96.59574468085106","1.6414141414141417"
"9","square-x","60","30","6","93","87.18718718718719","12.383488681757656"
"2","square-x","60","30","17","3","97.54253308128544","0.4026845637583893"
"11","square-x","60","40","2","346","68.33333333333333","33.365477338476374"
"10","square-x","60","30","5","124","82.89473684210526","15.36555142503098"
"12","square-x","60","40","0","624","49.90723562152134","60.58252427184466"
"9","square-x","60","30","7","71","89.95073891625616","9.454061251664447"
"7","square-x","60","30","15","17","96.8344155844156","2.1170610211706102"
"11","square-x","60","40","3","267","74.01662049861496","25.747348119575697"
"13","square-x","60","40","0","672","46.335554209569956","64.49136276391555"
"10","square-x","60","30","6","91","87.81770376862401","11.27633209417596"
"9","square-x","60","30","8","61","91.1851126346719","8.122503328894808"
"2","square-x","60","30","18","3","97.8219696969697","0.4026845637583893"
"7","square-x","60","30","16","14","98.11475409836066","1.7434620174346203"
"10","square-x","60","30","7","67","91.46451033243486","8.302354399008674"
"9","square-x","60","30","9","37","93.96299902629016","4.92676431424767"
"12","square-x","60","40","1","461","59.5438175270108","44.75728155339806"
"11","square-x","60","40","4","192","79.27432655305113","18.514946962391516"
"13","square-x","60","40","1","506","57.353809805079734","48.56046065259117"
"2","square-x","60","30","19","3","97.83427495291902","0.4026845637583893"
"10","square-x","60","30","8","60","92.43098842386465","7.434944237918216"
"10","square-x","60","30","9","63","91.01899827288429","7.806691449814126"
"7","square-x","60","30","17","9","98.36867862969005","1.1207970112079702"
"2","square-x","60","30","20","3","97.73798303487277","0.4026845637583893"
"12","square-x","60","40","2","354","67.22835560720512","34.368932038834956"
"9","square-x","60","30","10","27","95.15972894482091","3.5952063914780292"
"11","square-x","60","40","5","186","80.9192944949225","17.93635486981678"
"10","square-x","60","30","10","47","93.04123711340206","5.8240396530359355"
"13","square-x","60","40","2","402","65.07394766780432","38.57965451055662"
"9","square-x","60","30","11","25","94.95238095238095","3.3288948069241013"
"12","square-x","60","40","3","293","72.84730195177957","28.446601941747574"
"7","square-x","60","30","18","5","98.4565393988627","0.62266500622665"
"11","square-x","60","40","6","142","86.29032258064517","13.69334619093539"
"2","square-x","60","30","21","6","97.4624060150376","0.8053691275167786"
"10","square-x","60","30","11","38","94.60370994940978","4.708798017348203"
"7","square-x","60","30","19","4","98.54014598540147","0.49813200498132004"
"9","square-x","60","30","12","25","95.22918615528532","3.3288948069241013"
"11","square-x","60","40","7","105","89.05033731188375","10.12536162005786"
"2","square-x","60","30","22","2","97.47427502338635","0.2684563758389262"
"7","square-x","60","30","20","3","98.86363636363636","0.37359900373599003"
"12","square-x","60","40","4","226","77.09713024282561","21.941747572815533"
"9","square-x","60","30","13","20","95.42910447761194","2.6631158455392807"
"10","square-x","60","30","12","27","95.47359597652975","3.3457249070631967"
"11","square-x","60","40","8","75","90.79691516709512","7.232401157184184"
"7","square-x","60","30","21","2","99.02676399026764","0.24906600249066002"
"2","square-x","60","30","23","2","97.84644194756554","0.2684563758389262"
"9","square-x","60","30","14","10","96.84601113172542","1.3315579227696404"
"13","square-x","60","40","3","299","73.37733773377337","28.69481765834933"
"10","square-x","60","30","13","22","95.53719008264463","2.7261462205700124"
"9","square-x","60","30","15","6","97.57688723205965","0.7989347536617843"
"12","square-x","60","40","5","178","80.74034334763948","17.281553398058254"
"11","square-x","60","40","9","62","91.83256763654926","5.978784956605593"
"9","square-x","60","30","16","2","97.76951672862454","0.2663115845539281"
"6","square-x","60","30","17","7","97.03389830508475","0.8838383838383838"
"12","square-x","60","40","6","129","86.10354223433242","12.524271844660195"
"7","square-x","60","30","22","1","99.02676399026764","0.12453300124533001"
"10","square-x","60","30","14","22","95.6738768718802","2.7261462205700124"
"9","square-x","60","30","17","1","97.95158286778398","0.13315579227696406"
"13","square-x","60","40","4","224","77.53232758620689","21.497120921305182"
"2","square-x","60","30","24","4","97.65698219306466","0.5369127516778524"
"9","square-x","60","30","18","1","97.95348837209302","0.13315579227696406"
"12","square-x","60","40","7","102","88.16000000000001","9.902912621359224"
"10","square-x","60","30","15","12","96.61157024793388","1.486988847583643"
"11","square-x","60","40","10","55","92.7078021417644","5.303760848601736"
"6","square-x","60","30","18","3","97.8021978021978","0.3787878787878788"
"7","square-x","60","30","23","1","99.10786699107868","0.12453300124533001"
"2","square-x","60","30","25","4","97.20410065237651","0.5369127516778524"
"13","square-x","60","40","5","190","81.11289459604066","18.234165067178505"
"9","square-x","60","30","19","1","97.95348837209302","0.13315579227696406"
"10","square-x","60","30","16","11","97.581317764804","1.3630731102850062"
"12","square-x","60","40","8","94","89.65699208443272","9.12621359223301"
"9","square-x","60","30","20","0","98.04287045666355","0"
"10","square-x","60","30","17","11","97.58534554537886","1.3630731102850062"
"11","square-x","60","40","11","37","94.63738508682329","3.567984570877531"
"6","square-x","60","30","19","2","97.79661016949153","0.25252525252525254"
"12","square-x","60","40","9","69","91.72306090577824","6.699029126213592"
"10","square-x","60","30","18","11","97.27047146401985","1.3630731102850062"
"13","square-x","60","40","6","146","84.57051961823966","14.011516314779271"
"2","square-x","60","30","26","4","97.48369058713887","0.5369127516778524"
"14","square-x","60","40","0","612","51.5868436237738","57.572906867356544"
"7","square-x","60","30","24","0","99.1876523151909","0"
"10","square-x","60","30","19","9","97.27947238252267","1.1152416356877324"
"11","square-x","60","40","12","28","94.35199193141705","2.700096432015429"
"12","square-x","60","40","10","50","92.81682914315034","4.854368932038835"
"6","square-x","60","30","20","1","97.96437659033079","0.12626262626262627"
"13","square-x","60","40","7","122","87.58584257791865","11.708253358925145"
"14","square-x","60","40","1","456","61.12347052280312","42.89746001881468"
"10","square-x","60","30","20","5","98.25436408977556","0.6195786864931847"
"12","square-x","60","40","11","44","94.42724458204334","4.271844660194175"
"10","square-x","60","30","21","3","98.33610648918469","0.37174721189591076"
"11","square-x","60","40","13","21","95.93702386998476","2.0250723240115716"
"10","square-x","60","30","22","2","98.424543946932","0.24783147459727387"
"12","square-x","60","40","12","27","95.23321373654537","2.621359223300971"
"14","square-x","60","40","2","378","65.79085654230164","35.55973659454374"
"13","square-x","60","40","8","89","88.90020366598777","8.54126679462572"
"10","square-x","60","30","23","1","98.42323651452281","0.12391573729863693"
"11","square-x","60","40","14","21","95.95141700404858","2.0250723240115716"
"2","square-x","60","30","27","1","97.50462107208872","0.1342281879194631"
"12","square-x","60","40","13","19","96.15975422427036","1.8446601941747571"
"6","square-x","60","30","21","1","97.79847586790855","0.12626262626262627"
"10","square-x","60","30","24","1","98.42323651452281","0.12391573729863693"
"14","square-x","60","40","3","272","74.31578947368422","25.587958607714018"
"10","square-x","60","30","25","1","98.42323651452281","0.12391573729863693"
"12","square-x","60","40","14","12","96.62058371735792","1.1650485436893203"
"11","square-x","60","40","15","19","96.16548940464178","1.832208293153327"
"15","square-x","60","40","0","633","49.76958525345622","59.6045197740113"
"13","square-x","60","40","9","65","91.73511293634496","6.238003838771593"
"2","square-x","60","30","28","0","97.95728876508821","0"
"10","square-x","60","30","26","1","98.26014913007457","0.12391573729863693"
"14","square-x","60","40","4","207","79.69807391983342","19.47318908748824"
"12","square-x","60","40","15","10","97.18237704918032","0.9708737864077669"
"10","square-x","60","30","27","1","98.4258492129246","0.12391573729863693"
"13","square-x","60","40","10","53","93.42172361040285","5.08637236084453"
"6","square-x","60","30","22","2","97.96610169491525","0.25252525252525254"
"15","square-x","60","40","1","461","59.923871669385534","43.40866290018832"
"11","square-x","60","40","16","12","96.22736418511066","1.1571841851494697"
"10","square-x","60","30","28","0","98.50993377483444","0"
"14","square-x","60","40","5","160","82.54693049213597","15.051740357478833"
"12","square-x","60","40","16","6","97.39263803680981","0.5825242718446602"
"13","square-x","60","40","11","35","94.00299850074963","3.358925143953935"
"14","square-x","60","40","6","114","86.57986980470707","10.72436500470367"
"12","square-x","60","40","17","5","97.4961676034747","0.48543689320388345"
"17","square-x","60","40","0","663","49.01610017889087","62.48821866163996"
"6","square-x","60","30","23","2","97.63313609467455","0.25252525252525254"
"16","square-x","60","40","0","576","52.76292335115864","54.80494766888677"
"11","square-x","60","40","17","5","97.11538461538461","0.4821600771456124"
"14","square-x","60","40","7","83","90.53049082796232","7.808090310442145"
"12","square-x","60","40","18","3","97.39795918367346","0.2912621359223301"
"14","square-x","60","40","8","56","92.11170994610485","5.268109125117592"
"17","square-x","60","40","1","527","57.111234089651354","49.67012252591895"
"12","square-x","60","40","19","3","97.50254841997962","0.2912621359223301"
"13","square-x","60","40","12","26","95.42713567839196","2.495201535508637"
"15","square-x","60","40","2","386","67.55146262188516","36.346516007532955"
"6","square-x","60","30","24","1","97.883149872989","0.12626262626262627"
"12","square-x","60","40","20","0","97.8061224489796","0"
"14","square-x","60","40","9","45","93.13346228239845","4.233301975540922"
"16","square-x","60","40","1","456","60.287356321839084","43.3872502378687"
"13","square-x","60","40","13","27","95.73934837092732","2.5911708253358925"
"15","square-x","60","40","3","296","73.24675324675324","27.87193973634652"
"14","square-x","60","40","10","35","93.61804222648752","3.2925682031984946"
"17","square-x","60","40","2","386","66.3157894736842","36.380772855796415"
"18","square-x","60","40","0","616","48.80201765447667","60.33300685602351"
"11","square-x","60","40","18","1","97.57207890743551","0.09643201542912247"
"6","square-x","60","30","25","1","97.883149872989","0.12626262626262627"
"13","square-x","60","40","14","22","95.24752475247524","2.111324376199616"
"11","square-x","60","40","19","2","97.47602221100455","0.19286403085824494"
"16","square-x","60","40","2","358","68.47098214285714","34.0627973358706"
"15","square-x","60","40","4","221","80.06214396685655","20.80979284369115"
"6","square-x","60","30","26","1","97.71766694843618","0.12626262626262627"
"13","square-x","60","40","15","16","96.75486769845232","1.5355086372360844"
"14","square-x","60","40","11","30","94.60620525059666","2.8222013170272815"
"17","square-x","60","40","3","302","71.64420485175202","28.463713477851083"
"18","square-x","60","40","1","436","60.73765615704938","42.703232125367286"
"11","square-x","60","40","20","3","97.42163801820021","0.28929604628736744"
"6","square-x","60","30","27","2","97.883149872989","0.25252525252525254"
"16","square-x","60","40","3","289","73.6021505376344","27.497621313035204"
"15","square-x","60","40","5","187","81.81360201511335","17.60828625235405"
"14","square-x","60","40","12","24","95.14285714285714","2.257761053621825"
"18","square-x","60","40","2","346","68.2183908045977","33.88834476003918"
"17","square-x","60","40","4","237","77.29211087420043","22.33741753063148"
"11","square-x","60","40","21","2","97.72036474164135","0.19286403085824494"
"13","square-x","60","40","16","12","96.78377041068778","1.1516314779270633"
"14","square-x","60","40","13","13","95.93188268684958","1.2229539040451554"
"18","square-x","60","40","3","279","74.4186046511628","27.326150832517136"
"17","square-x","60","40","5","152","82.82402528977872","14.326107445805844"
"11","square-x","60","40","22","1","97.57942511346445","0.09643201542912247"
"13","square-x","60","40","17","10","96.7869500741473","0.9596928982725527"
"6","square-x","60","30","28","3","97.71573604060913","0.3787878787878788"
"14","square-x","60","40","14","10","96.26830420406235","0.940733772342427"
"15","square-x","60","40","6","142","86.35907723169508","13.370998116760829"
"11","square-x","60","40","23","0","97.72612430520465","0"
"18","square-x","60","40","4","205","79.50865438302624","20.078354554358473"
"17","square-x","60","40","6","126","86.8188894654904","11.875589066918002"
"13","square-x","60","40","18","3","97.4308300395257","0.28790786948176583"
"16","square-x","60","40","4","220","77.98310454065471","20.932445290199812"
"14","square-x","60","40","15","13","96.22285174693107","1.2229539040451554"
"13","square-x","60","40","19","4","97.47899159663865","0.3838771593090211"
"19","square-x","60","40","0","622","50.17006802721088","58.51364063969896"
"6","square-x","60","30","29","1","97.96782387806944","0.12626262626262627"
"14","square-x","60","40","16","11","96.73758865248226","1.03480714957667"
"18","square-x","60","40","5","156","85.51609322974473","15.279138099902056"
"17","square-x","60","40","7","91","88.36734693877551","8.576814326107446"
"13","square-x","60","40","20","5","97.24137931034483","0.47984644913627633"
"14","square-x","60","40","17","6","96.97542533081285","0.5644402634054563"
"15","square-x","60","40","7","115","87.5492125984252","10.828625235404896"
"19","square-x","60","40","1","481","59.832402234636874","45.24929444967074"
"16","square-x","60","40","5","184","81.18251928020565","17.50713606089439"
"13","square-x","60","40","21","3","97.3359644795264","0.28790786948176583"
"18","square-x","60","40","6","121","86.19382782891175","11.851126346718903"
"17","square-x","60","40","8","74","90.05076142131979","6.974552309142319"
